code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
537241,Babice,85,59,59,8,0,1,0,0,4,3,1,0,1,0,0,6,0,0,21,0,0,3,0,0,0,0,10,1
550116,Bohumilice,257,149,145,9,0,0,16,1,6,19,1,1,0,0,0,14,0,4,42,0,0,13,0,0,1,1,17,0
537527,Bohunice,36,30,30,9,0,0,1,0,0,7,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,8,0
545902,Borová Lada,257,159,159,19,0,0,7,0,23,13,3,0,0,0,2,20,0,9,29,0,0,4,0,2,0,0,26,2
550124,Bošice,269,169,168,18,0,0,16,0,13,20,4,0,4,0,1,15,0,2,39,0,0,18,0,0,0,7,11,0
561576,Budkov,77,51,51,0,0,0,3,0,0,9,4,0,0,0,1,6,0,0,20,0,0,6,1,1,0,0,0,0
537519,Buk,237,172,170,29,2,0,9,0,14,30,1,0,0,0,0,6,0,2,50,0,1,12,0,1,0,0,12,1
550159,Bušanovice,211,122,122,14,1,0,13,0,7,19,2,3,1,0,1,6,0,1,40,0,0,1,0,0,0,0,11,2
550167,Čkyně,1264,817,794,118,2,0,53,0,37,71,7,11,5,1,2,100,0,25,195,1,1,41,0,6,0,1,104,13
537187,Drslavice,80,61,61,7,3,0,5,0,1,2,1,0,0,0,1,5,0,0,22,0,0,1,0,0,0,0,13,0
550183,Dub,303,158,149,12,0,0,7,1,9,15,1,1,2,0,0,16,0,5,46,0,0,6,1,3,0,1,23,0
537144,Dvory,77,58,58,8,0,0,5,1,3,6,0,0,1,1,0,6,0,1,8,0,0,10,0,0,0,0,8,0
550205,Horní Vltavice,309,132,131,12,0,0,5,0,4,23,3,1,2,0,0,13,0,4,38,0,0,7,0,1,2,0,16,0
550221,Hracholusky,393,204,201,15,0,1,20,0,8,11,6,1,4,0,1,13,0,16,55,0,1,20,0,1,0,1,27,0
550230,Husinec,1118,650,648,71,0,1,45,1,33,59,4,9,11,0,0,63,0,39,205,0,1,31,0,3,0,0,70,2
550248,Chlumany,278,173,172,19,0,0,17,0,2,18,1,2,4,1,0,13,0,5,58,0,0,13,0,2,0,0,17,0
550264,Chroboly,408,241,239,36,1,0,38,0,4,29,4,2,10,0,0,16,0,14,49,0,0,2,0,0,1,1,31,1
537420,Chvalovice,148,67,67,4,0,0,6,0,5,7,0,4,0,1,0,11,0,1,15,0,0,5,0,0,0,0,8,0
537136,Kratušín,43,36,35,9,0,0,2,0,4,0,0,0,0,0,0,4,0,1,11,0,0,0,0,1,0,0,3,0
561673,Křišťanov,90,34,34,2,0,0,6,0,4,4,0,0,1,0,0,3,0,3,7,0,0,2,0,0,0,0,2,0
550329,Ktiš,397,192,191,36,0,1,21,1,3,21,1,4,0,0,0,6,1,3,51,0,0,7,0,5,0,3,24,3
563978,Kubova Huť,97,74,72,9,0,0,3,0,2,2,0,0,2,0,0,13,0,9,10,0,1,5,0,0,2,0,12,2
550337,Kvilda,195,167,165,31,0,0,12,0,21,4,4,0,2,0,0,23,1,20,31,0,3,2,0,0,0,0,10,1
550345,Lažiště,246,138,137,9,1,0,12,0,13,11,3,1,0,1,0,8,0,2,50,0,0,13,0,1,0,0,11,1
561649,Lčovice,115,84,81,6,0,0,3,0,6,6,4,0,1,0,0,8,0,6,22,0,1,5,0,0,0,1,12,0
550353,Lenora,582,292,288,57,0,0,11,0,13,43,1,5,2,0,0,39,0,9,52,0,1,12,0,0,0,1,42,0
550361,Lhenice,1571,924,921,136,5,0,53,1,28,75,14,3,14,1,0,100,0,43,293,1,5,50,0,14,0,0,82,3
537071,Lipovice,157,97,97,9,0,0,12,0,4,16,0,3,0,0,0,4,0,2,32,0,0,1,0,1,0,0,13,0
537322,Lužice,34,16,16,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,0
537381,Mahouš,125,82,82,3,0,0,7,0,2,4,2,1,0,0,0,6,1,4,38,0,0,1,1,5,0,0,7,0
550418,Malovice,513,336,335,48,0,0,22,1,13,20,5,0,3,0,2,36,0,5,97,0,1,30,0,1,0,3,46,2
550426,Mičovice,286,175,175,17,0,0,13,1,13,14,2,1,2,0,0,25,0,5,51,0,0,15,0,2,0,0,14,0
550434,Nebahovy,455,298,295,35,0,1,32,1,11,27,5,1,1,1,0,27,0,12,92,0,1,14,0,2,0,0,28,4
550396,Němčice,160,113,113,14,0,0,10,0,7,7,1,1,1,0,0,6,0,5,38,0,0,11,0,0,3,0,9,0
550442,Netolice,2151,1231,1228,158,1,1,76,4,56,129,9,10,20,0,2,84,0,57,381,2,3,69,1,15,0,7,142,1
529893,Nicov,81,56,56,4,0,0,2,0,2,8,0,0,4,0,0,2,0,7,19,0,0,1,0,0,0,0,7,0
550451,Nová Pec,422,229,229,27,0,1,5,0,6,36,4,4,5,0,0,21,0,20,65,0,1,5,0,3,0,1,22,3
561568,Nové Hutě,88,51,50,10,3,0,0,0,3,4,3,0,0,0,0,3,0,3,8,0,0,3,0,0,0,1,8,1
537365,Olšovice,48,30,30,2,0,0,0,0,0,2,0,0,2,1,0,3,0,0,7,0,0,4,0,0,0,0,9,0
537543,Pěčnov,104,71,71,6,0,0,11,0,1,5,0,1,0,0,0,6,0,4,18,0,0,3,0,1,0,0,15,0
550094,Prachatice,8897,5288,5271,922,22,2,431,6,209,460,100,27,91,2,5,537,4,288,1326,3,9,295,4,53,11,12,430,22
550485,Radhostice,128,76,74,1,0,0,3,0,2,18,1,0,1,0,0,12,0,5,11,0,0,12,0,0,0,1,7,0
550515,Stachy,937,630,623,107,2,0,41,0,31,73,10,6,6,0,0,38,1,44,148,0,3,43,1,4,8,1,53,3
550523,Stožec,167,124,123,17,0,0,2,0,11,12,2,2,3,0,0,12,0,8,35,0,0,6,0,0,0,1,11,1
550531,Strážný,252,136,134,20,1,1,5,0,3,27,3,4,3,0,0,9,0,5,26,0,1,7,0,0,0,0,19,0
